,f,V1,V2,th,thg
0,1.0,1.0,1.0,-0.00508,-0.3
1,2.0,1.0,1.0,-0.0101,-0.6
2,5.01,1.0,1.0,-0.0255,-1.5
3,10.0,1.0,0.999,-0.0508,-2.9
4,20.0,1.0,0.995,-0.101,-5.8
5,50.1,1.0,0.969,-0.249,-14.3
6,100.0,1.0,0.891,-0.47,-26.9
7,119.0,1.0,0.856,-0.543,-31.1
8,141.0,1.0,0.812,-0.623,-35.7
9,158.0,1.0,0.779,-0.678,-38.8
10,178.0,1.0,0.742,-0.735,-42.1
11,188.0,1.0,0.722,-0.764,-43.8
12,200.0,1.0,0.702,-0.792,-45.4
13,211.0,1.0,0.681,-0.821,-47.0
14,218.0,1.0,0.671,-0.835,-47.8
15,237.0,1.0,0.639,-0.878,-50.3
16,259.0,1.0,0.606,-0.92,-52.7
17,282.0,1.0,0.572,-0.961,-55.1
18,299.0,1.0,0.55,-0.988,-56.6
19,501.0,1.0,0.365,-1.21,-69.3
20,1000.0,1.0,0.193,-1.38,-79.1
21,2000.0,1.0,0.0981,-1.47,-84.2
22,5010.0,1.0,0.0392,-1.53,-87.7
23,10000.0,1.0,0.0197,-1.55,-88.8
24,20000.0,1.0,0.00986,-1.56,-89.4
25,50100.0,1.0,0.00393,-1.57,-90.0
26,100000.0,1.0,0.00197,-1.57,-90.0
